postcode.prefix	county
AL1	"Hertfordshire"
AL10	"Hertfordshire"
AL2	"Hertfordshire"
AL3	"Bedfordshire"
AL3	"Hertfordshire"
AL4	"Hertfordshire"
AL5	"Bedfordshire"
AL5	"Hertfordshire"
AL6	"Hertfordshire"
AL7	"Hertfordshire"
AL8	"Hertfordshire"
AL9	"Hertfordshire"
B1	"West Midlands"
B10	"West Midlands"
B11	"West Midlands"
B12	"West Midlands"
B13	"West Midlands"
B14	"West Midlands"
B14	"Worcestershire"
B15	"West Midlands"
B16	"West Midlands"
B17	"West Midlands"
B18	"West Midlands"
B19	"West Midlands"
B2	"West Midlands"
B20	"West Midlands"
B21	"West Midlands"
B22	"West Midlands"
B23	"West Midlands"
B24	"West Midlands"
B25	"West Midlands"
B26	"West Midlands"
B27	"West Midlands"
B28	"West Midlands"
B29	"West Midlands"
B3	"West Midlands"
B30	"West Midlands"
B31	"West Midlands"
B31	"Worcestershire"
B32	"West Midlands"
B32	"Worcestershire"
B33	"West Midlands"
B34	"West Midlands"
B35	"West Midlands"
B36	"West Midlands"
B37	"West Midlands"
B38	"West Midlands"
B38	"Worcestershire"
B4	"West Midlands"
B40	"West Midlands"
B42	"West Midlands"
B43	"West Midlands"
B44	"West Midlands"
B45	"West Midlands"
B45	"Worcestershire"
B46	"Warwickshire"
B46	"West Midlands"
B47	"Warwickshire"
B47	"West Midlands"
B47	"Worcestershire"
B48	"Warwickshire"
B48	"West Midlands"
B48	"Worcestershire"
B49	"Warwickshire"
B49	"Worcestershire"
B5	"West Midlands"
B50	"Warwickshire"
B50	"Worcestershire"
B6	"West Midlands"
B60	"Worcestershire"
B61	"Worcestershire"
B62	"West Midlands"
B62	"Worcestershire"
B63	"West Midlands"
B64	"West Midlands"
B65	"West Midlands"
B66	"West Midlands"
B67	"West Midlands"
B68	"West Midlands"
B69	"West Midlands"
B7	"West Midlands"
B70	"West Midlands"
B71	"West Midlands"
B72	"West Midlands"
B73	"West Midlands"
B74	"Staffordshire"
B74	"West Midlands"
B75	"Staffordshire"
B75	"Warwickshire"
B75	"West Midlands"
B76	"Warwickshire"
B76	"West Midlands"
B77	"Staffordshire"
B77	"Warwickshire"
B78	"Staffordshire"
B78	"Warwickshire"
B79	"Leicestershire"
B79	"Staffordshire"
B79	"Warwickshire"
B8	"West Midlands"
B80	"Warwickshire"
B80	"West Midlands"
B80	"Worcestershire"
B9	"West Midlands"
B90	"West Midlands"
B90	"Worcestershire"
B91	"West Midlands"
B92	"West Midlands"
B93	"Warwickshire"
B93	"West Midlands"
B94	"Warwickshire"
B94	"West Midlands"
B95	"Warwickshire"
B96	"Warwickshire"
B96	"Worcestershire"
B97	"Warwickshire"
B97	"Worcestershire"
B98	"Warwickshire"
B98	"Worcestershire"
B99	"West Midlands"
BA1	"Gloucestershire"
BA1	"Somerset"
BA1	"Wiltshire"
BA10	"Somerset"
BA11	"Somerset"
BA11	"Wiltshire"
BA12	"Somerset"
BA12	"Wiltshire"
BA13	"Somerset"
BA13	"Wiltshire"
BA14	"Wiltshire"
BA15	"Somerset"
BA15	"Wiltshire"
BA16	"Somerset"
BA2	"Somerset"
BA2	"Wiltshire"
BA20	"Somerset"
BA21	"Dorset"
BA21	"Somerset"
BA22	"Dorset"
BA22	"Somerset"
BA3	"Somerset"
BA3	"Wiltshire"
BA4	"Somerset"
BA5	"Somerset"
BA6	"Somerset"
BA7	"Somerset"
BA8	"Dorset"
BA8	"Somerset"
BA9	"Somerset"
BB0	"Lancashire"
BB1	"Lancashire"
BB10	"Lancashire"
BB11	"Lancashire"
BB12	"Lancashire"
BB18	"Lancashire"
BB18	"North Yorkshire"
BB2	"Lancashire"
BB3	"Lancashire"
BB4	"Lancashire"
BB5	"Lancashire"
BB6	"Lancashire"
BB7	"Lancashire"
BB8	"Lancashire"
BB8	"North Yorkshire"
BB9	"Lancashire"
BB94	"Lancashire"
BD1	"West Yorkshire"
BD10	"West Yorkshire"
BD11	"West Yorkshire"
BD12	"West Yorkshire"
BD13	"West Yorkshire"
BD14	"West Yorkshire"
BD15	"West Yorkshire"
BD16	"West Yorkshire"
BD17	"West Yorkshire"
BD18	"West Yorkshire"
BD19	"West Yorkshire"
BD2	"West Yorkshire"
BD20	"North Yorkshire"
BD20	"West Yorkshire"
BD21	"West Yorkshire"
BD22	"North Yorkshire"
BD22	"West Yorkshire"
BD23	"Lancashire"
BD23	"North Yorkshire"
BD24	"North Yorkshire"
BD3	"West Yorkshire"
BD4	"West Yorkshire"
BD5	"West Yorkshire"
BD6	"West Yorkshire"
BD7	"West Yorkshire"
BD8	"West Yorkshire"
BD9	"West Yorkshire"
BD97	"West Yorkshire"
BD98	"West Yorkshire"
BD99	"West Yorkshire"
BH1	"Dorset"
BH10	"Dorset"
BH11	"Dorset"
BH12	"Dorset"
BH13	"Dorset"
BH14	"Dorset"
BH15	"Dorset"
BH16	"Dorset"
BH17	"Dorset"
BH18	"Dorset"
BH19	"Dorset"
BH2	"Dorset"
BH20	"Dorset"
BH21	"Dorset"
BH21	"Hampshire"
BH22	"Dorset"
BH23	"Dorset"
BH23	"Hampshire"
BH24	"Dorset"
BH24	"Hampshire"
BH25	"Hampshire"
BH3	"Dorset"
BH31	"Dorset"
BH31	"Hampshire"
BH4	"Dorset"
BH5	"Dorset"
BH6	"Dorset"
