Code,Name,1997,1998,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
K04000001,England and Wales,3.55,3.66,,3.89,4.13,4.42,5.06,5.85,6.53,6.74,6.96,7.17,6.90,6.35,6.84,6.73,6.76,6.74,6.95,7.37,7.59,7.77,7.83
,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England ,3.54,3.67,,3.96,4.18,4.50,5.12,5.91,6.60,6.79,6.95,7.15,6.96,6.39,6.85,6.80,6.77,6.76,7.09,7.52,7.72,7.91,8.00
,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2.98,3.01,,3.07,2.98,3.01,3.29,3.95,4.78,5.18,5.68,5.79,5.56,5.20,5.40,5.12,5.00,5.02,5.02,5.16,5.22,5.21,5.32
E12000002,North West,3.01,3.01,,3.09,3.13,3.23,3.51,4.02,4.85,5.35,5.68,5.83,5.58,5.20,5.47,5.28,5.24,5.18,5.42,5.55,5.64,5.79,5.86
E12000003,Yorkshire and The Humber,3.12,3.05,,3.15,3.14,3.23,3.55,4.20,5.14,5.49,5.77,6.03,5.74,5.29,5.66,5.39,5.35,5.29,5.54,5.68,5.78,5.89,5.95
E12000004,East Midlands,3.17,3.26,,3.42,3.46,3.72,4.18,5.04,5.94,6.07,6.15,6.43,6.10,5.42,5.80,5.71,5.57,5.62,5.94,6.28,6.49,6.84,6.92
E12000005,West Midlands,3.40,3.35,,3.53,3.68,3.92,4.42,5.21,6.02,6.20,6.36,6.48,6.08,5.84,6.19,5.93,5.90,5.84,6.21,6.27,6.38,6.63,6.78
E12000006,East,3.68,3.85,,4.11,4.42,4.78,5.78,6.51,7.19,7.39,7.44,7.77,7.62,6.86,7.45,7.32,7.27,7.43,7.83,8.42,8.96,9.66,9.72
E12000007,London,4.00,4.34,,4.94,5.54,5.95,6.57,7.10,7.55,7.66,7.91,7.94,8.08,7.42,8.24,8.50,8.53,8.96,10.08,11.05,12.03,12.38,12.25
E12000008,South East,4.17,4.43,,4.75,5.35,5.88,6.38,7.22,7.62,7.84,8.02,8.40,8.22,7.28,8.11,8.05,7.99,8.26,8.56,9.13,9.76,10.25,10.38
E12000009,South West,3.78,3.96,,4.24,4.59,5.04,5.98,7.00,7.73,7.99,8.02,8.29,8.03,7.24,7.76,7.61,7.59,7.53,7.78,8.17,8.53,8.85,8.90
W92000004,Wales,3.00,3.04,,3.16,3.26,3.33,3.71,4.31,5.43,6.01,6.25,6.59,6.32,5.70,5.82,5.58,5.63,5.54,5.64,5.74,5.82,5.76,5.88
