Code,Name,Year ending Sep 1997,Year ending Sep 1998,Year ending Sep 1999,Year ending Sep 2000,Year ending Sep 2001,Year ending Sep 2002,Year ending Sep 2003,Year ending Sep 2004,Year ending Sep 2005,Year ending Sep 2006,Year ending Sep 2007,Year ending Sep 2008,Year ending Sep 2009,Year ending Sep 2010,Year ending Sep 2011,Year ending Sep 2012,Year ending Sep 2013,Year ending Sep 2014,Year ending Sep 2015,Year ending Sep 2016,Year ending Sep 2017,Year ending Sep 2018
E10000002,Buckinghamshire,"90,000","105,000","118,000","133,000","151,125","169,950","193,500","214,475","225,000","237,500","249,950","260,000","245,000","265,000","270,000","270,000","275,000","297,625","320,000","350,000","380,000","385,000"
E10000003,Cambridgeshire,"66,000","71,500","78,995","88,000","102,500","123,000","143,000","160,000","175,000","178,000","193,715","198,150","175,000","195,500","196,000","200,000","210,000","222,000","245,000","260,000","284,995","290,000"
E10000006,Cumbria,"50,000","52,000","54,750","57,500","60,000","68,000","83,000","100,000","118,950","130,000","140,000","142,500","138,000","145,000","139,950","139,950","140,000","147,000","150,000","155,000","158,000","165,000"
E10000007,Derbyshire,"49,000","50,000","54,825","57,000","60,000","72,000","90,000","115,000","125,000","132,000","139,000","139,950","130,000","135,000","132,995","134,000","135,000","141,000","150,000","157,000","166,000","173,000"
E10000008,Devon,"59,999","65,000","69,500","80,000","92,000","118,500","147,000","169,000","180,000","185,000","200,000","201,960","185,000","199,000","196,950","195,000","199,995","210,000","222,000","229,000","240,000","250,000"
E10000009,Dorset,"73,000","79,950","88,500","104,725","122,000","141,000","173,000","195,000","205,000","214,250","230,000","237,000","212,500","230,000","230,000","232,500","235,000","242,000","250,000","270,000","285,000","292,500"
E10000011,East Sussex,"63,000","69,950","76,000","87,000","99,000","124,500","148,000","167,000","175,000","182,000","194,950","206,834","185,000","203,000","205,000","205,000","209,000","220,000","235,000","250,000","267,000","278,500"
E10000012,Essex,"65,000","71,000","77,500","88,000","104,950","125,000","150,000","169,950","178,000","185,000","197,500","204,000","182,500","200,000","200,000","204,000","210,000","222,000","245,000","270,000","297,500","310,000"
E10000013,Gloucestershire,"60,000","67,000","73,973","84,500","97,000","114,000","136,000","157,000","166,500","172,000","185,000","190,000","170,000","184,000","180,000","185,000","185,000","196,000","209,950","222,500","240,000","250,000"
E10000014,Hampshire,"74,950","83,950","90,000","110,000","125,000","144,995","169,950","185,000","194,000","199,950","215,000","220,000","200,000","220,000","225,000","225,000","230,000","242,000","260,000","280,500","302,000","312,000"
E10000015,Hertfordshire,"81,000","92,000","102,000","120,000","135,000","156,500","182,000","199,950","208,000","219,000","235,000","240,000","225,000","243,000","249,950","249,995","250,000","280,575","315,000","351,500","377,500","389,950"
E10000016,Kent,"63,500","69,950","75,000","87,000","100,000","120,000","143,500","163,500","173,000","179,000","190,000","197,500","175,000","191,000","189,000","193,000","200,000","215,000","235,000","257,000","278,000","290,000"
E10000017,Lancashire,"48,500","50,000","52,000","55,000","57,950","63,000","75,950","96,500","108,500","119,950","128,750","130,000","125,000","130,000","125,000","125,000","130,000","135,000","140,000","145,000","150,000","150,000"
E10000018,Leicestershire,"55,500","59,450","63,000","69,000","77,000","91,000","119,000","137,950","149,355","151,000","160,000","160,000","145,000","156,000","155,000","155,000","159,000","170,000","179,995","189,995","201,995","216,000"
E10000019,Lincolnshire,"48,000","50,750","53,500","58,000","65,000","78,000","98,000","124,000","131,500","135,000","144,000","144,500","130,000","140,000","135,000","135,000","136,000","145,000","152,000","159,950","169,950","177,500"
E10000020,Norfolk,"51,500","54,500","58,000","66,500","77,000","94,950","120,000","137,000","145,000","150,230","165,000","165,323","151,998","160,000","155,500","159,950","162,000","172,000","181,500","196,500","215,000","225,000"
E10000021,Northamptonshire,"52,725","58,998","61,000","71,000","81,950","93,000","115,500","131,000","139,950","145,000","153,000","153,000","142,000","150,000","149,995","150,000","154,000","164,000","175,000","193,000","210,100","225,000"
E10000023,North Yorkshire,"60,000","62,000","65,000","72,000","80,000","94,000","123,000","148,000","165,000","170,000","180,500","180,000","169,000","176,500","180,000","176,000","176,000","180,000","189,999","197,000","207,500","212,500"
E10000024,Nottinghamshire,"49,995","52,000","55,998","59,995","65,500","76,000","95,000","119,498","126,000","129,950","136,000","131,995","127,000","135,000","132,500","130,000","134,098","139,500","145,000","155,000","162,000","170,000"
