Code,Name,1997,1998,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E10000002,Buckinghamshire,"17,730","18,502",,"19,191","20,698","21,491","23,552","23,791","24,898","25,155","25,440","26,234","27,875","29,074","28,148","28,023","28,444","29,037","28,825","28,912","30,618","31,708","30,867"
E10000003,Cambridgeshire,"17,140","17,777",,"17,771","19,269","20,270","20,684","22,084","24,009","24,366","24,360","25,194","25,800","27,574","27,819","27,796","27,847","28,637","28,419","29,291","30,000","30,404","31,344"
E10000006,Cumbria,"16,118","15,898",,"16,247","16,795","18,559","19,355","20,000","20,192","21,386","22,128","22,981","24,000","24,262","25,334","23,940","24,710","27,069","26,731","26,044","26,999","27,697","29,380"
E10000007,Derbyshire,"15,371","15,653",,"15,904","16,494","17,460","18,126","19,175","20,281","21,240","21,749","22,307","23,730","23,962","23,062","23,670","24,239","24,415","24,539","24,576","25,088","25,950","26,587"
E10000008,Devon,"14,203","14,714",,"15,079","16,302","16,841","17,571","18,738","19,524","20,005","20,052","20,150","21,278","22,029","22,013","22,172","22,275","23,394","23,945","24,123","25,377","24,693","25,936"
E10000009,Dorset,"14,912","16,086",,"16,274","17,646","17,748","18,034","19,547","20,220","20,470","21,336","21,488","21,945","22,749","22,236","22,993","23,876","24,689","25,120","25,109","25,120","25,555","27,345"
E10000011,East Sussex,"15,330","15,982",,"16,424","17,369","18,367","18,536","19,530","20,404","21,548","21,374","21,854","22,103","22,729","23,375","23,968","23,239","23,492","23,898","25,166","24,985","26,735","27,569"
E10000012,Essex,"16,858","17,745",,"18,074","19,575","20,717","20,837","21,670","22,074","22,833","23,680","24,655","25,023","25,475","25,490","25,978","26,696","26,612","26,499","27,374","27,277","28,679","28,704"
E10000013,Gloucestershire,"16,431","17,245",,"17,527","18,790","19,503","19,647","20,696","21,153","22,695","22,078","23,931","25,298","25,580","24,376","24,863","25,872","26,268","26,064","26,819","27,535","28,481","29,412"
E10000014,Hampshire,"16,838","18,027",,"17,957","19,473","20,800","21,563","22,273","23,261","24,005","24,655","25,045","26,134","26,868","27,303","27,500","27,997","28,553","28,622","28,861","28,984","29,857","30,985"
