Code,Name,1997,1998,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E10000002,Buckinghamshire,5.08,5.68,,6.15,6.43,7.03,7.22,8.13,8.61,8.94,9.34,9.53,9.33,8.43,9.41,9.63,9.49,9.47,10.33,11.07,11.43,11.98,12.47
E10000003,Cambridgeshire,3.85,4.02,,4.45,4.57,5.06,5.95,6.48,6.66,7.18,7.31,7.69,7.68,6.35,7.03,7.05,7.18,7.33,7.81,8.36,8.67,9.37,9.25
E10000006,Cumbria,3.10,3.27,,3.37,3.42,3.23,3.51,4.15,4.95,5.56,5.87,6.09,5.94,5.69,5.72,5.85,5.66,5.17,5.50,5.76,5.74,5.70,5.62
E10000007,Derbyshire,3.19,3.19,,3.45,3.46,3.44,3.97,4.69,5.67,5.89,6.07,6.23,5.90,5.43,5.85,5.62,5.53,5.53,5.75,6.10,6.26,6.40,6.51
E10000008,Devon,4.22,4.42,,4.61,4.91,5.46,6.74,7.85,8.66,9.00,9.23,9.93,9.49,8.40,9.04,8.88,8.75,8.55,8.77,9.20,9.02,9.72,9.64
E10000009,Dorset,4.90,4.97,,5.44,5.93,6.87,7.82,8.85,9.64,10.01,10.04,10.70,10.80,9.34,10.34,10.00,9.74,9.52,9.63,9.96,10.75,11.15,10.70
E10000011,East Sussex,4.11,4.38,,4.63,5.01,5.39,6.72,7.58,8.18,8.12,8.52,8.92,9.36,8.14,8.68,8.55,8.82,8.90,9.21,9.34,10.01,9.99,10.10
E10000012,Essex,3.86,4.00,,4.29,4.50,5.07,6.00,6.92,7.70,7.80,7.81,8.01,8.15,7.16,7.85,7.70,7.64,7.89,8.38,8.95,9.90,10.37,10.80
E10000013,Gloucestershire,3.65,3.89,,4.22,4.50,4.97,5.80,6.57,7.42,7.34,7.79,7.73,7.51,6.65,7.55,7.24,7.15,7.04,7.52,7.83,8.08,8.43,8.50
E10000014,Hampshire,4.45,4.66,,5.01,5.65,6.01,6.72,7.63,7.95,8.08,8.11,8.58,8.42,7.44,8.06,8.18,8.04,8.06,8.46,9.01,9.68,10.11,10.07
E10000015,Hertfordshire,4.40,4.71,,5.02,5.67,5.99,6.71,7.43,7.96,7.96,8.32,8.81,8.64,7.96,8.70,9.19,8.71,8.70,9.54,10.65,11.44,12.18,12.15
E10000016,Kent,3.93,4.15,,4.37,4.77,5.32,6.10,6.90,7.59,7.82,7.91,8.17,7.90,6.89,7.63,7.35,7.40,7.82,8.36,8.81,9.52,10.23,10.48
E10000017,Lancashire,3.01,2.98,,3.11,3.12,3.21,3.35,3.86,4.83,5.18,5.68,5.85,5.52,5.34,5.52,5.38,5.42,5.54,5.52,5.48,5.55,5.78,5.66
E10000018,Leicestershire,3.36,3.50,,3.79,3.92,4.12,4.62,5.89,6.44,6.85,6.67,6.94,6.50,5.82,6.32,6.27,6.24,6.40,6.76,7.14,7.40,7.77,7.94
E10000019,Lincolnshire,3.28,3.33,,3.48,3.48,3.85,4.40,5.52,6.82,7.03,6.88,7.25,6.97,5.92,6.14,6.11,6.07,5.88,6.29,6.61,6.70,7.04,7.02
E10000020,Norfolk,3.35,3.44,,3.46,3.75,4.21,5.15,6.36,6.96,7.09,7.16,7.58,7.25,6.54,6.94,6.53,6.49,6.68,7.02,7.23,7.53,8.56,8.50
E10000021,Northamptonshire,3.25,3.52,,3.52,3.85,4.25,4.65,5.62,6.16,6.56,6.54,6.62,6.61,5.93,6.28,6.08,6.01,6.03,6.62,7.09,7.65,7.97,8.25
E10000023,North Yorkshire,4.20,4.15,,4.23,4.40,4.66,5.27,6.61,7.56,8.08,8.47,8.36,7.94,7.10,7.55,7.67,7.65,7.33,7.34,7.78,7.91,8.21,8.11
E10000024,Nottinghamshire,3.23,3.33,,3.56,3.61,3.68,4.09,4.96,6.00,5.98,6.05,6.18,5.87,5.48,5.86,5.97,5.63,5.66,5.80,6.14,6.31,6.52,6.60
E10000025,Oxfordshire,4.55,4.90,,5.21,5.94,6.55,7.07,7.85,8.02,8.14,8.63,9.04,9.10,7.98,8.47,8.49,8.67,8.61,9.03,9.54,10.23,10.47,10.44
E10000027,Somerset,3.71,3.81,,4.04,4.67,4.77,5.65,7.01,7.78,7.99,7.84,8.32,8.38,7.34,7.63,7.55,7.33,7.35,7.54,7.70,8.21,8.69,8.73
E10000028,Staffordshire,3.55,3.39,,3.66,3.72,4.01,4.52,5.25,6.24,6.40,6.53,6.91,6.52,6.05,6.36,6.18,6.15,5.82,6.21,6.47,6.52,6.73,7.02
E10000029,Suffolk,3.57,3.67,,3.85,4.29,4.58,5.47,6.28,6.91,7.28,7.12,7.59,7.20,6.50,7.01,6.72,7.00,7.01,7.20,7.65,8.04,8.69,8.86
E10000030,Surrey,5.16,5.74,,6.10,6.82,7.26,7.74,8.43,8.80,8.87,9.00,9.44,9.42,8.33,9.77,10.06,9.56,10.25,10.86,11.81,12.50,12.84,13.17
E10000031,Warwickshire,3.93,3.92,,4.21,4.61,4.71,5.88,6.46,6.86,7.23,6.91,7.19,6.88,6.49,6.83,6.76,6.74,6.66,7.37,7.76,7.92,8.00,8.54
E10000032,West Sussex,4.06,4.37,,4.68,5.41,5.99,6.70,7.76,8.25,8.60,8.69,9.42,9.13,7.96,8.96,8.74,8.76,8.90,9.60,10.23,10.80,11.43,11.38
E10000034,Worcestershire,4.11,4.13,,4.41,4.79,5.23,6.26,7.22,7.96,7.97,8.09,8.45,8.06,7.12,7.61,7.61,7.61,7.56,7.67,7.99,8.34,8.52,8.88
